[Data]
Tagname,TimeStamp,Value,DataQuality
151.20.35.10--1.AI23,2024-03-25 12:52:09.081,0,Good
151.20.35.10--1.AI24,2024-03-25 12:52:09.081,151,Good
151.20.35.10--1.REG4,2024-03-25 12:52:09.081,45650,Good
151.20.35.10--1.REG5,2024-03-25 12:52:09.081,95,Good
151.20.35.10--1.REG2000,2024-03-25 12:52:09.081,29,Good
151.20.35.10--1.REG2001,2024-03-25 12:52:09.081,45650,Good
151.20.35.10--1.REG2002,2024-03-25 12:52:09.081,0,Good
151.20.35.10--1.REG2003,2024-03-25 12:52:09.081,0,Good
151.20.35.10--1.REG2004,2024-03-25 12:52:09.081,18378,Good
151.20.35.10--1.REG2005,2024-03-25 12:52:09.081,65512,Good
151.20.35.10--1.REG372,2024-03-25 12:52:09.081,45650,Good
151.20.35.10--1.REG373,2024-03-25 12:52:09.081,95,Good
151.20.35.10--1.AI23,2024-03-25 12:53:00.281,0,Good
151.20.35.10--1.AI24,2024-03-25 12:53:00.281,151,Good
151.20.35.10--1.REG4,2024-03-25 12:53:00.281,45650,Good
151.20.35.10--1.REG5,2024-03-25 12:53:00.281,95,Good
151.20.35.10--1.REG2000,2024-03-25 12:53:00.281,29,Good
151.20.35.10--1.REG2001,2024-03-25 12:53:00.281,45650,Good
151.20.35.10--1.REG2002,2024-03-25 12:53:00.281,0,Good
151.20.35.10--1.REG2003,2024-03-25 12:53:00.281,0,Good
151.20.35.10--1.REG2004,2024-03-25 12:53:00.281,18378,Good
151.20.35.10--1.REG2005,2024-03-25 12:53:00.281,65512,Good
151.20.35.10--1.REG372,2024-03-25 12:53:00.281,45650,Good
151.20.35.10--1.REG373,2024-03-25 12:53:00.281,95,Good
151.20.35.10--1.AI23,2024-03-25 12:54:00.281,0,Good
151.20.35.10--1.AI24,2024-03-25 12:54:00.281,151,Good
151.20.35.10--1.REG4,2024-03-25 12:54:00.281,45650,Good
151.20.35.10--1.REG5,2024-03-25 12:54:00.281,95,Good
151.20.35.10--1.REG2000,2024-03-25 12:54:00.281,29,Good
151.20.35.10--1.REG2001,2024-03-25 12:54:00.281,45650,Good
151.20.35.10--1.REG2002,2024-03-25 12:54:00.281,0,Good
151.20.35.10--1.REG2003,2024-03-25 12:54:00.281,0,Good
151.20.35.10--1.REG2004,2024-03-25 12:54:00.281,18378,Good
151.20.35.10--1.REG2005,2024-03-25 12:54:00.281,65512,Good
151.20.35.10--1.REG372,2024-03-25 12:54:00.281,45650,Good
151.20.35.10--1.REG373,2024-03-25 12:54:00.281,95,Good
151.20.35.10--1.AI23,2024-03-25 12:55:00.281,0,Good
151.20.35.10--1.AI24,2024-03-25 12:55:00.281,151,Good
151.20.35.10--1.REG4,2024-03-25 12:55:00.281,45650,Good
151.20.35.10--1.REG5,2024-03-25 12:55:00.281,95,Good
151.20.35.10--1.REG2000,2024-03-25 12:55:00.281,29,Good
151.20.35.10--1.REG2001,2024-03-25 12:55:00.281,45650,Good
151.20.35.10--1.REG2002,2024-03-25 12:55:00.281,0,Good
151.20.35.10--1.REG2003,2024-03-25 12:55:00.281,0,Good
151.20.35.10--1.REG2004,2024-03-25 12:55:00.281,18378,Good
151.20.35.10--1.REG2005,2024-03-25 12:55:00.281,65512,Good
151.20.35.10--1.REG372,2024-03-25 12:55:00.281,45650,Good
151.20.35.10--1.REG373,2024-03-25 12:55:00.281,95,Good
151.20.35.10--1.AI23,2024-03-25 12:56:00.281,0,Good
151.20.35.10--1.AI24,2024-03-25 12:56:00.281,137,Good
151.20.35.10--1.REG4,2024-03-25 12:56:00.281,45654,Good
151.20.35.10--1.REG5,2024-03-25 12:56:00.281,95,Good
151.20.35.10--1.REG2000,2024-03-25 12:56:00.281,43,Good
151.20.35.10--1.REG2001,2024-03-25 12:56:00.281,45654,Good
